Seed,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,pearson,spearman,high_pearson,low_pearson,yeast_pearson,random_pearson,challenging_pearson,SNVs_pearson,motif_perturbation_pearson,motif_tiling_pearson,high_spearman,low_spearman,yeast_spearman,random_spearman,challenging_spearman,SNVs_spearman,motif_perturbation_spearman,motif_tiling_spearman,pearsons_score,spearmans_score,all_pearson_r2,Model
12,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.945544094107167,0.949128073024136,0.3154585431938308,0.3577011285360881,0.8210123433751149,0.9623246587062037,0.916821981405178,0.8027423482624415,0.9729749820834142,0.890772519068127,0.1497667058664926,0.2003419950309965,0.8212807302926857,0.9677100614256008,0.9044977737190596,0.662613217011029,0.9582283774542664,0.902868310678772,0.7031186307093579,0.7569869175139727,0.8940536339009431,Large
23,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9431891579169108,0.9464705092245944,0.3779266705644256,0.4193758965967181,0.814822458014793,0.9592263381496016,0.9156210879434568,0.7993209656991266,0.967234479503772,0.8846885290656317,0.3091913224728116,0.259303681838297,0.8123518393855605,0.9632717171000628,0.905520860696879,0.657916961885995,0.9515207799798,0.8986940430206237,0.703653380141105,0.7676981852412336,0.8896057876120111,Large
34,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9392157473007876,0.9445184870587712,0.4750235848580348,0.5792108816099214,0.8250813623817354,0.9625733918869332,0.900242739901943,0.799104317683024,0.9634245821291668,0.9035407420870112,0.4812731713040479,0.5926778165074205,0.8213442513060591,0.9653692916090524,0.8932158927134606,0.6552782940897396,0.955886304298838,0.9067881823284069,0.7185154005300318,0.7995494246164867,0.8821262199777772,Large
42,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9438994115164564,0.9464771822212076,0.4671834731447325,0.5125871930646096,0.8049183544076997,0.9616882986995462,0.906585493439492,0.8067072777216133,0.9648620921440696,0.8851954230541432,0.4459836565247516,0.4524255740755599,0.8067926707652121,0.9650922792122432,0.8930203554538195,0.6587253915211472,0.9515493085318356,0.8979418780412222,0.7148827397941234,0.7875535263008431,0.8909460990611127,Large
47,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9408786444008298,0.9492144876591996,0.180554254671305,0.6005373633619455,0.8193045718640604,0.9631791340606832,0.8988524042433939,0.8023916288157534,0.9629070313651013,0.908143460492107,-0.0156469436324793,0.5757722630739877,0.8160506660394944,0.9671918298118722,0.8852895326549933,0.6619547434172585,0.9487408333630468,0.907162404965662,0.7096179254560004,0.7676989763099593,0.8852526234895431,Large
56,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.943766600665279,0.948010443603824,0.2796260514589653,0.4899570184741941,0.8077730890279252,0.964072009862199,0.8984431346448912,0.80145935661737,0.958183772182954,0.8903480737846401,0.1257238483231509,0.3954762323528886,0.8074116599199456,0.967364756866139,0.8909456299860528,0.656046829339013,0.9373641586516176,0.9012091206484308,0.7010309178584825,0.7621564817987335,0.8906953965312961,Large
67,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9599001480888952,0.9626685459253116,0.4723431887995275,0.5038610819756603,0.8368481330358228,0.970268577586476,0.9530857168472916,0.8207639627859238,0.974160819239524,0.922690786670472,0.41294666025102,0.3933250234327528,0.8371839473334941,0.9727635086840674,0.9401869304416978,0.6705394772500517,0.9580591005477288,0.9235222197194608,0.7480682669980703,0.7984147779938126,0.9214082943010828,Large
78,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9400723283618928,0.9439450219477324,0.4367927288399901,0.5915929979797772,0.8106280355758091,0.9632641374927252,0.902951805890402,0.8004075114578081,0.962374116832879,0.9015475298617708,0.3542820053180468,0.5762347070094301,0.8100788138786973,0.9659534501062916,0.8980403927675431,0.660382383374979,0.9445757385621252,0.905203183444164,0.7167540405924322,0.7905079323419937,0.8837359825517505,Large
89,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9370591227186306,0.9459016313468724,0.4685303566720195,0.5189428544905634,0.812765479705582,0.9613093142302028,0.9022869397861212,0.7993369436061146,0.9587570450590538,0.9037969841098388,0.4325499696431949,0.5991856901383459,0.8089820494403988,0.9647762752969744,0.8949344017428144,0.6548394573781741,0.9357423663114108,0.8947630350084254,0.7114789086266747,0.7940202738050461,0.8780797994702095,Large
98,onehot,Huber,AdamW,OneCycleLR,16.611073M,0.9626259133740304,0.965115011432005,0.4929060040569512,0.4635074579907331,0.8447023509137415,0.9711914794563796,0.9505450657014398,0.8282483043378431,0.9697539888622316,0.9089495831712572,0.4188889820135364,0.3524027521337369,0.8408678238447019,0.97444370356053,0.937553360430107,0.6808782676550116,0.9551695821482412,0.9096155387744448,0.7490048145896852,0.7981435687818978,0.9266486490991862,Large
